"Rank","Player_ID","Player_Name","Total_Earnings","Highest_Paying_Game","Total_Game_Earnings","Percent_of_Total"
1,"N0tail","Johan Sundstein","$7,184,163.05","Dota 2","$7,172,436.83","99.84%"
2,"JerAx","Jesse Vainikka","$6,486,623.98","Dota 2","$6,486,075.22","99.99%"
3,"ana","Anathan Pham","$6,024,411.96","Dota 2","$6,024,411.96","100.00%"
4,"Ceb","Sébastien Debs","$5,945,842.73","Dota 2","$5,945,842.73","100.00%"
5,"Topson","Topias Taavitsainen","$5,898,810.60","Dota 2","$5,898,810.60","100.00%"
6,"Miposhka","Yaroslav Naidenov","$5,851,271.49","Dota 2","$5,851,271.49","100.00%"
7,"Collapse","Magomed Khalilov","$5,589,111.07","Dota 2","$5,589,111.07","100.00%"
8,"Yatoro","Ilya Mulyarchuk","$5,581,736.05","Dota 2","$5,581,736.05","100.00%"
9,"Mira","Miroslaw Kolpakov","$5,562,899.05","Dota 2","$5,562,899.05","100.00%"
10,"KuroKy","Kuro Takhasomi","$5,295,272.93","Dota 2","$5,293,199.59","99.96%"
11,"Miracle-","Amer Al-Barkawi","$4,901,085.26","Dota 2","$4,901,085.26","100.00%"
12,"Matumbaman","Lasse Urpalainen","$4,873,086.24","Dota 2","$4,873,086.24","100.00%"
13,"MinD_ContRoL","Ivan Ivanov","$4,703,101.61","Dota 2","$4,703,101.61","100.00%"
14,"TORONTOTOKYO","Alexander Khertek","$4,457,863.50","Dota 2","$4,457,863.50","100.00%"
15,"Puppey","Clement Ivanov","$4,339,822.80","Dota 2","$4,338,402.74","99.97%"
16,"GH","Maroun Merhej","$4,318,387.60","Dota 2","$4,318,387.60","100.00%"
17,"Zai","Ludwig Wåhlberg","$4,292,756.02","Dota 2","$4,272,661.31","99.53%"
18,"Ame","Wang, Chunyu","$4,232,479.27","Dota 2","$4,232,479.27","100.00%"
19,"SumaiL","Sumail Hassan","$4,088,889.31","Dota 2","$4,088,889.31","100.00%"
20,"y`","Zhang, Yiping","$3,997,742.20","Dota 2","$3,997,742.20","100.00%"
21,"Faith_bian","Zhang, Ruida","$3,907,981.98","Dota 2","$3,907,981.98","100.00%"
22,"Bugha","Kyle Giersdorf","$3,741,025.05","Fortnite","$3,728,358.38","99.66%"
23,"Nisha","Michał Jankowski","$3,546,426.48","Dota 2","$3,546,426.48","100.00%"
24,"Somnus","Lu, Yao","$3,311,808.66","Dota 2","$3,311,808.66","100.00%"
25,"Saksa","Martin Sazdov","$3,272,777.85","Dota 2","$3,272,777.85","100.00%"
26,"fy","Xu, Linsen","$3,159,545.98","Dota 2","$3,159,545.98","100.00%"
27,"Cr1t","Andreas Nielsen","$3,103,262.51","Dota 2","$3,103,262.51","100.00%"
